Product Name,Price,Original Prices,Discount rates,Ratings
"Honor 9X (Sapphire Blue, 128 GB)","13,999","15,999",12% off,4.3
"Mi A3 (Kind of Grey, 64 GB)","12,999","14,999",13% off,4.3
"Samsung Galaxy S9 (Midnight Black, 64 GB)","24,999","62,500",60% off,4.4
"Infinix S5 Pro (Forest Green, 64 GB)","10,999","12,999",15% off,4.5
"Moto E6s (Caribbean Blue, 64 GB)","7,999","9,999",20% off,4.1
"Redmi Note 7S (Sapphire Blue, 64 GB)","11,999","13,999",14% off,4.4
Detel D1 Champ,590,NaN,Nan,3.7
"Redmi 8A (Ocean Blue, 32 GB)","6,999","7,999",12% off,4.4
"Realme C3 (Blazing Red, 64 GB)","8,999",NaN,Nan,4.4
"Honor 20i (Phantom Red, 128 GB)","10,999","16,999",35% off,4.3
Forme N1,599,NaN,Nan,3.5
"Apple iPhone SE (Red, 128 GB)","47,800",NaN,Nan,4.7
"Honor 9 Lite (Sapphire Blue, 32 GB)","8,499","13,999",39% off,4.3
"Honor 9 Lite (Midnight Black, 32 GB)","8,499","13,999",39% off,4.3
"Honor 9 Lite (Glacier Grey, 32 GB)","8,499","13,999",39% off,4.3
"Nokia 7.2 (Ice, 64 GB)","16,399","20,999",21% off,4.2
"Moto E6s (Rich Cranberry, 64 GB)","7,999","9,999",20% off,4.1
"Redmi Go (Black, 8 GB)","4,499","5,999",25% off,4.3
"Realme X2 (Pearl Blue, 128 GB)","20,999",NaN,Nan,4.5
"Vivo U10 (Electric Blue, 64 GB)","11,990","13,990",14% off,4.4
"Realme X (Garlic, 128 GB)","20,999",NaN,Nan,4.5
"Redmi Note 6 Pro (Black, 64 GB)","11,999","17,999",33% off,4.5
"Motorola G8 Power Lite (Royal Blue, 64 GB)","8,999","9,999",10% off,NaN
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","10,999","15,999",31% off,4.5
"Vivo U10 (Thunder Black, 64 GB)","10,490","11,990",12% off,4.4
"Realme 5s (Crystal Purple, 128 GB)","11,999","12,999",7% off,4.4
"Realme XT (Pearl Blue, 64 GB)","17,999",NaN,Nan,4.5
Itel It2171,849,875,2% off,4.1
Itel It2171,810,999,18% off,4.1
"Redmi Note 9 Pro (Aurora Blue, 64 GB)","12,999",NaN,Nan,4.4
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","14,999","15,999",6% off,4.7
"Apple iPhone XS (Space Grey, 64 GB)","62,999","89,900",29% off,4.7
Detel D1 Champ,590,NaN,Nan,3.7
"Realme X2 (Pearl Green, 64 GB)","17,999",NaN,Nan,4.5
"Realme X2 (Pearl Green, 128 GB)","19,999",NaN,Nan,4.5
"Apple iPhone XS (Gold, 64 GB)","62,999","89,900",29% off,4.7
Itel IT 2163,790,822,3% off,4
Kechaoda K66 Plus,999,NaN,Nan,4.1
Kechaoda K66 Plus,999,NaN,Nan,4.1
Kechaoda K-55 Plus,"1,045","1,199",12% off,4
Lava Spark i8,"1,479","1,899",22% off,4.1
Samsung Metro 313 Dual Sim,"2,294","2,340",1% off,4.3
"Redmi Note 8 Pro (Halo White, 128 GB)","18,999","19,999",5% off,4.5
"Apple iPhone 11 (Purple, 64 GB)","68,300",NaN,Nan,4.7
"Coolpad Cool 3 (Midnight Blue, 16 GB)","4,549","6,990",34% off,3.8
"Apple iPhone 11 (White, 128 GB)","73,600",NaN,Nan,4.7
Nokia 105 SS,"1,149","1,249",8% off,4.3
Nokia 105 SS,"1,119","1,249",10% off,4.3
"Realme X2 (Pearl White, 128 GB)","20,999",NaN,Nan,4.5
"Realme X2 (Pearl Green, 128 GB)","20,999",NaN,Nan,4.5
"Realme X2 (Pearl White, 64 GB)","17,999",NaN,Nan,4.5
Lava A7,"1,316","1,899",30% off,4.2
Detel D1 Champ,590,NaN,Nan,3.7
Lava A7,"1,316","1,899",30% off,4.2
"Apple iPhone 11 (White, 64 GB)","68,300",NaN,Nan,4.7
"Apple iPhone 7 Plus (Gold, 32 GB)","36,999","37,900",2% off,4.5
Lava 34 Plus,"1,499","1,729",13% off,4.3
Snexian Rock,"1,030","1,999",48% off,3.9
"Mi A3 (Not just Blue, 128 GB)","14,999","17,499",14% off,4.3
Karbonn K9 Mini,790,990,20% off,3.9
"OPPO F11 (Jewelry White, 128 GB)","17,990","23,990",25% off,4.4
"Realme XT (Pearl White, 64 GB)","17,999",NaN,Nan,4.5
"Realme XT (Pearl Blue, 128 GB)","19,999",NaN,Nan,4.5
"Realme XT (Pearl White, 128 GB)","19,999",NaN,Nan,4.5
"Apple iPhone 11 (Purple, 128 GB)","73,600",NaN,Nan,4.7
Kechaoda K33,949,NaN,Nan,4.1
Kechaoda K33,949,NaN,Nan,4.1
Kechaoda K33,949,NaN,Nan,4.1
"Realme C1 (Navy Blue, 32 GB)","8,499","9,999",15% off,4.4
"POCO X2 (Matrix Purple, 64 GB)","16,999","17,999",5% off,4.5
"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)","30,999","70,000",55% off,4.5
Micromax X741,"1,198",NaN,Nan,4
Itel Muzik 400,"1,398",NaN,Nan,4.1
"Honor 10 Lite (Sky Blue, 64 GB)","12,199","18,999",35% off,4.4
Lava One,"1,159","1,349",14% off,4.1
Kechaoda A26,990,NaN,Nan,4.1
Detel D1 Champ,590,NaN,Nan,3.7
Lava Spark i8,"1,559","1,569",Nan,4.1
"OPPO A5 2020 (Dazzling White, 64 GB)","12,490","14,990",16% off,4.4
Kara Elight,699,NaN,Nan,3.7
"POCO X2 (Atlantis Blue, 256 GB)","20,999",NaN,Nan,4.5
Karbonn K9 SPY,"1,149",NaN,Nan,3.9
"Moto E6s (Polished Graphite, 64 GB)","7,999","9,999",20% off,4.1
Snexian Rock,"1,030",NaN,Nan,3.9
Snexian Rock,"1,285",NaN,Nan,3.9
"Vivo V17 (Glacier ice white, 128 GB)","24,990","27,990",10% off,4.5
"Huawei Y9 Prime 2019 (Sapphire Blue, 128 GB)","15,999","19,990",19% off,4.3
Lava A1200,"1,180","1,199",1% off,4.2
"Meizu C9 (Gold, 16 GB)","3,699","6,999",47% off,4.1
Kechaoda A27,990,NaN,Nan,4.1
Micromax X746,"1,199","2,499",52% off,4
"OPPO F11 (Fluorite Purple, 128 GB)","13,990","21,990",36% off,4.4
"Vivo S1 (Diamond Black, 128 GB)","16,990","19,990",15% off,4.5
"Vivo S1 (Diamond Black, 128 GB)","19,990","22,990",13% off,4.5
"Samsung Galaxy A50s (Prism Crush Black, 128 GB)","18,570","24,900",25% off,4.3
Lava A1200,"1,199","1,349",11% off,4.2
"Redmi Note 7S (Sapphire Blue, 32 GB)","9,999","11,999",16% off,4.4
"Apple iPhone XR (White, 128 GB)","57,800",NaN,Nan,4.6
"Apple iPhone 8 (Silver, 64 GB)","38,999","39,900",2% off,4.5
"Micromax iOne (Black, 16 GB)","3,965","3,980",Nan,4
Micromax X811,"1,099",NaN,Nan,3.8
"Tecno Spark Go Plus (Vacation Blue, 32 GB)","7,299","7,499",2% off,4.3
Detel D1 Champ,590,NaN,Nan,3.7
Intex Turbo 108+,999,NaN,Nan,4.2
"Karbonn Vue 1 (Champagne, 8 GB)","3,799",NaN,Nan,4
"OPPO A9 2020 (Marine Green, 128 GB)","15,990","18,990",15% off,4.4
"Honor 9 Lite (Midnight Black, 64 GB)","8,499","16,999",50% off,4.3
"Apple iPhone XR (White, 128 GB)","57,800",NaN,Nan,4.6
"XOLO Era 4x (Black, 16 GB)","4,299","7,199",40% off,4.1
"Vivo V15 Pro (Topaz Blue, 128 GB)","21,099","32,990",36% off,4.5
Micromax X740,"1,194","1,499",20% off,3.8
Kechaoda K28,"1,075",NaN,Nan,4
"Realme X2 Pro (Neptune Blue, 64 GB)","29,999",NaN,Nan,4.5
Samsung Guru 1200,"1,389","1,410",1% off,4.3
"OnePlus 7 (Red, 256 GB)","36,480",NaN,Nan,4.6
Micromax X809,"1,170",NaN,Nan,3.9
"Redmi K20 (Carbon Black, 64 GB)","21,999","22,999",4% off,4.5
Kechaoda K115,899,"1,349",33% off,4.1
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","12,999","16,999",23% off,4.5
Samsung Guru Music 2 SM-B310E,"1,899","1,950",2% off,4.1
Hicell C1 Nova,599,NaN,Nan,3.5
"Realme X (Space Blue, 128 GB)","20,999",NaN,Nan,4.5
"Realme X (Space Blue, 128 GB)","17,999",NaN,Nan,4.5
"Realme 3i (Diamond Black, 64 GB)","10,499","10,999",4% off,4.4
"Realme 3i (Diamond Blue, 32 GB)","8,499","8,999",5% off,4.4
"Redmi Note 8 (Cosmic Purple, 64 GB)","11,449","12,999",11% off,4.4
Detel D1 Champ,590,NaN,Nan,3.7
"Realme 5s (Crystal Red, 128 GB)","11,999","12,999",7% off,4.4
"Asus ZenFone Max M2 (Blue, 32 GB)","7,499","12,999",42% off,4.3
"Redmi Note 7 Pro (Space Black, 64 GB)","10,999","15,999",31% off,4.5
Muphone M20,979,"1,999",51% off,NaN
"Motorola One Vision (Sapphire Gradient, 128 GB)","14,999","22,999",34% off,4.1
Itel it5260,"1,345",NaN,Nan,4.7
"Redmi K20 Pro (Flame Red, 128 GB)","26,999","28,999",6% off,4.5
Easyfone Royale,"3,399","3,750",9% off,4.1
Tambo A1800,720,NaN,Nan,3.8
"OPPO Reno2 F (Lake Green, 128 GB)","23,490","28,990",18% off,4.5
"Redmi Note 7S (Onyx Black, 32 GB)","9,999","11,999",16% off,4.4
"Motorola One Action (Denim Blue, 128 GB)","10,999","16,999",35% off,4.2
Nokia 150/150 DS,"2,156",NaN,Nan,4.2
Karbonn K140 Pop,799,NaN,Nan,3.9
Karbonn K140 Pop,789,899,12% off,3.9
"Moto G6 (Indigo Black, 64 GB)","15,999",NaN,Nan,4.2
Karbonn KX3,799,NaN,Nan,3.9
Karbonn K-Pebble,"1,379",NaN,Nan,3.9
Itel Magic 1 Max,"1,458","1,468",Nan,3.9
I Kall K2180 Pack of Two Mobile,"1,199","1,299",7% off,3.6
"Gionee F9 (Blue, 32 GB)","5,499","7,900",30% off,4.1
Itel It 2190,989,NaN,Nan,4.1
"Tecno Camon 15 (SHOAL GOLD, 64 GB)","11,499",NaN,Nan,4.3
"Lenovo K9 (Black, 32 GB)","6,499","9,999",35% off,4.1
"Asus ZenFone Max M2 (Black, 32 GB)","7,499","12,999",42% off,4.3
Detel D1 Champ,590,NaN,Nan,3.7
"Samsung Galaxy M30 (Gradation Black, 64 GB)","15,990",NaN,Nan,4.4
I Kall K2180,649,NaN,Nan,3.7
"Asus ZenFone Max M2 (Silver, 32 GB)","7,499","12,999",42% off,4.3
"Tecno Spark 4 Air (Polar Blue, 32 GB)","6,499","7,999",18% off,4.2
"Tecno Spark 4 Air (Nebula Black, 32 GB)","7,150",NaN,Nan,4.2
Micromax X807,"1,425",NaN,Nan,4.1
Micromax X412,738,799,7% off,3.9
"Redmi K20 Pro (Glacier Blue, 128 GB)","26,999","28,999",6% off,4.5
"Infinix Note 5 (Milan Black, 32 GB)","7,599","10,999",30% off,4.2
BlackBear D101 Handy,"1,099",NaN,Nan,3.3
"Lenovo K9 Note (Black, 64 GB)","7,499","11,999",37% off,4.1
Gfive Classic,649,NaN,Nan,3.6
"Redmi Y2 (Black, 64 GB)","8,499","13,499",37% off,4.4
"Realme 3i (Diamond Red, 32 GB)","8,499","8,999",5% off,4.4
Karbonn K2 Boom Box,809,NaN,Nan,3.9
Micromax X421,925,NaN,Nan,4.1
"Redmi 8A Dual (Sea Blue, 32 GB)","7,399","7,499",1% off,4.3
"Redmi 8A Dual (Midnight Grey, 32 GB)","7,499","7,999",6% off,4.3
Micromax X807,"1,425",NaN,Nan,4.1
Detel D1 Champ,590,NaN,Nan,3.7
"Realme 3 Pro (Nitro Blue, 64 GB)","15,999","17,999",11% off,4.5
"Realme 3 Pro (Carbon Grey, 64 GB)","13,999","15,999",12% off,4.5
"Realme 3 Pro (Carbon Grey, 128 GB)","16,999","19,999",15% off,4.5
I Kall K20 New Combo of Two Mobiles,"1,199",NaN,Nan,3.4
"OPPO A5 (Diamond Red, 32 GB)","12,690","15,990",20% off,4.3
InFocus F229,"1,185",NaN,Nan,4
"Redmi Note 8 Pro (Gamma Green, 64 GB)","16,999",NaN,Nan,4.5
"Redmi Y2 (Blue, 32 GB)","7,999","10,499",23% off,4.5
"Asus ZenFone Max M1 (Black, 32 GB)","5,999","9,599",37% off,4.1
"Samsung Galaxy S10 Lite (Prism Black, 128 GB)","42,999","43,999",2% off,4.5
Karbonn K451 Power,"1,229",NaN,Nan,3.8
"Redmi Y2 (Rose Gold, 64 GB)","8,499","13,499",37% off,4.4
Itel It 2190,877,"1,125",22% off,4.1
"Redmi Note 8 (Space Black, 64 GB)","9,998","11,999",16% off,4.4
"Samsung Galaxy A30s (Prism Crush White, 64 GB)","15,899","18,900",15% off,4.3
Kechaoda K33,950,NaN,Nan,4.1
Snexian Rock,"1,285",NaN,Nan,3.9
"Apple iPhone 11 (Red, 128 GB)","73,600",NaN,Nan,4.7
"Samsung Galaxy S10 Lite (Prism Blue, 128 GB)","42,999","43,999",2% off,4.5
Nokia 105,"1,349","1,499",10% off,4.2
Karbonn K99 Pro,"1,279",NaN,Nan,3.8
Nokia 105,"1,295","1,349",4% off,4.2
JIVI N3720 Power,"2,299",NaN,Nan,4.1
Detel D1 Champ,590,NaN,Nan,3.7
"Honor 20 (Midnight Black, 128 GB)","21,999","35,999",38% off,4.4
"Samsung Galaxy A71 (Prism Crush Silver, 128 GB)","32,999","34,999",5% off,4.5
Gfive Alpha,999,NaN,Nan,3.4
"POCO F1 (Armoured Edition, 256 GB)","17,999","30,999",41% off,4.5
Itel Power 400,"1,299",NaN,Nan,4.1
"Yu Yureka Black (Chrome Black, 32 GB)","6,899","10,999",37% off,4
Kechaoda K112,"1,240",NaN,Nan,3.9
"Asus Zenfone Max Pro M1 (Black, 64 GB)","11,499","17,999",36% off,4.3
"Micromax Bharat 4 (Blue, 8 GB)","3,998",NaN,Nan,3.8
"Vivo Y17 (Mineral Blue, 128 GB)","14,799","18,990",22% off,4.4
"Realme X2 Pro (Neptune Blue, 128 GB)","31,999",NaN,Nan,4.6
"Realme X2 Pro (Lunar White, 64 GB)","29,999",NaN,Nan,4.5
"Realme X2 Pro (Neptune Blue, 256 GB)","35,999",NaN,Nan,4.6
Karbonn K140 Pop,799,NaN,Nan,3.9
"OPPO K1 (Piano Black, 64 GB)","14,990","18,990",21% off,4.4
"OPPO K1 (Astral Blue, 64 GB)","14,990","18,990",21% off,4.4
"OPPO A3s (Purple, 64 GB)","10,599","13,990",24% off,4.3
Kechaoda K115,895,NaN,Nan,4.1
Kechaoda K115,899,"1,349",33% off,4.1
Kechaoda K28,"1,075",NaN,Nan,4
Hicell C5,599,NaN,Nan,3.6
Hicell C5,599,NaN,Nan,3.6
"Realme X2 Pro (Concrete, 256 GB)","36,999",NaN,Nan,4.6
"Redmi Note 8 Pro (Electric Blue, 128 GB)","18,999","19,999",5% off,4.5
"Gionee A1 Lite (Gold, 32 GB)","5,999","11,499",47% off,4
Detel D1 Champ,590,NaN,Nan,3.7
"Yu Yutopia (Graphite Grey, 32 GB)","7,399","29,999",75% off,2.7
Itel It 2163,793,799,Nan,4
Itel IT 2163,794,799,Nan,4
"Realme X (Super Polar White, 128 GB)","21,999",NaN,Nan,4.5
"Samsung Galaxy S10 Lite (Prism White, 128 GB)","42,999","43,999",2% off,4.5
Karbonn K24+,999,NaN,Nan,3.9
"Apple iPhone SE (Black, 256 GB)","58,300",NaN,Nan,4.7
"Moto G8 Plus (Crystal Pink, 64 GB)","13,999","15,999",12% off,4.3
"Infinix Hot 9 Pro (Violet, 64 GB)","9,499","10,999",13% off,NaN
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)","12,999","16,999",23% off,4.5
"Honor 20 (Sapphire Blue, 128 GB)","21,999","35,999",38% off,4.4
"Gionee F10 (Blue, 32 GB)","6,999","7,990",12% off,4.2
Jmax M43,499,"1,099",54% off,3.7
Jmax M43,499,"1,099",54% off,3.7
Blackbear B5 Bucket,699,NaN,Nan,3.7
Kechaoda A26,970,NaN,Nan,4.1
Kechaoda A26,822,"1,499",45% off,4.1
"Gionee F9 (Black, 32 GB)","5,499","7,900",30% off,4.1
Kechaoda A27,970,NaN,Nan,4.1
"Redmi K20 Pro (Flame Red, 256 GB)","29,999","31,999",6% off,4.5
"Gionee F205 (Black and Gold, 16 GB)","3,999","8,479",52% off,4
I Kall K112 Pack of two Mobile,"1,299","2,598",50% off,4.4
"Redmi K20 Pro (Carbon Black, 128 GB)","26,999","28,999",6% off,4.5
Detel D1 Champ,590,NaN,Nan,3.7
Karbonn K24 Plus Pro,"1,069",NaN,Nan,3.8
"Nokia 4.2 (Black, 32 GB)","10,099","13,699",26% off,4.1
"Redmi Note 8 Pro (Gamma Green, 128 GB)","18,999","19,999",5% off,4.5
Karbonn KX24,"1,199",NaN,Nan,3.9
"Realme C2 (Diamond Blue, 16 GB)","6,499","6,999",7% off,4.4
"Apple iPhone 11 (Green, 128 GB)","73,600",NaN,Nan,4.7
"Apple iPhone XR (Blue, 64 GB)","52,500",NaN,Nan,4.6
Micromax X516,"1,050",NaN,Nan,4
"Realme C1 (Mirror Black, 32 GB)","8,499","9,999",15% off,4.4
Karbonn KX1,799,NaN,Nan,3.9
Karbonn KX1,799,NaN,Nan,3.9
Karbonn KX1,799,NaN,Nan,3.9
"Realme 3 (Diamond Red, 64 GB)","9,499","12,999",26% off,4.4
"Realme 3 (Radiant Blue, 32 GB)","8,499","10,999",22% off,4.4
"Realme 3 (Radiant Blue, 64 GB)","9,499","11,999",20% off,4.4
"Realme 3 (Dynamic Black, 64 GB)","10,499","12,999",19% off,4.4
"Realme 3 (Dynamic Black, 64 GB)","9,499","11,999",20% off,4.4
"Realme 3 (Dynamic Black, 32 GB)","8,499","10,999",22% off,4.4
"Asus Zenfone Max Pro M1 (Blue, 64 GB)","8,499","15,599",45% off,4.3
Itel it5607,983,"1,249",21% off,4.1
Micromax X741,"1,365",NaN,Nan,4
"Redmi K20 Pro (Pearl White, 128 GB)","26,999","28,999",6% off,4.5
Jmax M40,499,"1,099",54% off,3.7
Jmax M40,499,"1,099",54% off,3.7
Jmax M40,499,"1,099",54% off,3.7
Detel D1 Champ,590,NaN,Nan,3.7
Karbonn K885 Metal,"1,299",NaN,Nan,3.8
"Yu Ace (Charcoal Grey, 16 GB)","4,999","7,999",37% off,4.1
"Gionee F10 (Black, 32 GB)","6,999","7,990",12% off,4.2
Lava Captain K1 Plus,939,NaN,Nan,3.8
"Honor 10 Lite (Midnight Black, 32 GB)","8,499","13,999",39% off,4.4
"Honor 10 Lite (Sapphire Blue, 64 GB)","11,599","16,999",31% off,4.4
"Honor 10 Lite (Sapphire Blue, 64 GB)","12,199","18,999",35% off,4.4
"Karbonn Aura Power 4G+ (Champagne, 16 GB)","3,599","6,590",45% off,3.4
"Gionee F9 (Champagne, 32 GB)","5,499","7,900",30% off,4.1
"Samsung Galaxy M30 (Blue, 32 GB)","10,399","11,000",5% off,4.4
Gfive U220+,555,599,7% off,3.5
"Nubia Redmagic 3S (Mecha Silver, 128 GB)","35,999","39,999",10% off,4.3
Karbonn K19 Rock,899,NaN,Nan,3.8
I Kall K51,649,NaN,Nan,3.3
"Micromax Vdeo 3 (Champagne, 8 GB)","5,749",NaN,Nan,4
